model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_6_AutoML_2_20260726_210000,0.9962022703818368,0.0663840410184795,0.9975419809273977,0.0164602683178534,0.1293433240747359,0.0167296954827021
StackedEnsemble_BestOfFamily_4_AutoML_2_20260726_210000,0.99562435500516,0.0655544297064524,0.9969933323802168,0.0194014447884416,0.1270679552272077,0.0161462652456236
DeepLearning_grid_1_AutoML_2_20260726_210000_model_2,0.9955830753353974,0.0754783405147782,0.9969406850515452,0.0211558307533539,0.1372666745033514,0.018842139929209
StackedEnsemble_BestOfFamily_2_AutoML_2_20260726_210000,0.995438596491228,0.0697106796059324,0.9968230409083236,0.0152734778121775,0.1330361472510697,0.0176986164754083
GBM_grid_1_AutoML_2_20260726_210000_model_38,0.99531475748194,0.0794749804404204,0.9970362593842688,0.0234778121775025,0.1457366622688055,0.0212391747292518
GBM_grid_1_AutoML_2_20260726_210000_model_16,0.9951909184726522,0.0830343298318868,0.997024315047859,0.0258513931888544,0.1487012883977533,0.0221120731711518
GBM_grid_1_AutoML_2_20260726_210000_model_74,0.995170278637771,0.0831644324580545,0.9969885222921931,0.0358617131062951,0.1547826145714431,0.0239576577735719
GBM_grid_1_AutoML_2_20260726_210000_model_7,0.9950670794633644,0.0857613294400825,0.9969793374900592,0.0399896800825593,0.1587609797953261,0.0252050487055719
GLM_1_AutoML_2_20260726_210000,0.9950257997936016,0.0779203301998988,0.9964143773757038,0.0235294117647058,0.140107018401808,0.0196299766054445
GBM_grid_1_AutoML_2_20260726_210000_model_37,0.994922600619195,0.0797038622987375,0.9967341877972568,0.0246646026831785,0.1451382614160577,0.0210651149268759
GBM_grid_1_AutoML_2_20260726_210000_model_75,0.994922600619195,0.0863998056935232,0.9968423935045077,0.0334881320949432,0.155203919004378,0.0240882564743175
DeepLearning_grid_1_AutoML_2_20260726_210000_model_5,0.9948813209494324,0.0718855713222099,0.9962536140956868,0.0194014447884416,0.126971770141456,0.0161218304128547
DeepLearning_grid_1_AutoML_2_20260726_210000_model_3,0.9948710010319918,0.0762482078160482,0.99640770361494,0.018782249742002,0.1287013261155087,0.0165640313438905
GBM_grid_1_AutoML_2_20260726_210000_model_36,0.9948606811145512,0.0857458872490651,0.9967518981248316,0.0358617131062951,0.1540612200829815,0.0237348595334568
StackedEnsemble_AllModels_1_AutoML_2_20260726_210000,0.9948400412796696,0.0729950703250866,0.9963649111517014,0.0170278637770897,0.1363527538556049,0.0185920734840071
GBM_grid_1_AutoML_2_20260726_210000_model_65,0.9948194014447884,0.0813234219902637,0.9966877789850532,0.0217234262125903,0.1480524348051276,0.0219195234517265
GBM_grid_1_AutoML_2_20260726_210000_model_31,0.9947781217750256,0.0924426979123233,0.9967920640017804,0.0364293085655314,0.16107616109635,0.0259455296735373
GBM_grid_1_AutoML_2_20260726_210000_model_18,0.9946749226006192,0.085121863177446,0.996660682278062,0.0287925696594427,0.1520453873193512,0.0231177998050915
GBM_grid_1_AutoML_2_20260726_210000_model_22,0.9946749226006192,0.0829320802942401,0.9964933946693568,0.0246646026831785,0.149840979814966,0.022452319231909
