Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Logistic Regression,0.978,0.9975,0.986,0.9799,0.9826,0.9528,0.9539,0.9826,0.026
SVM - Linear Kernel,0.9736,0.9954,0.9789,0.9796,0.9787,0.944,0.9456,0.9787,0.022
K Neighbors Classifier,0.9648,0.9833,0.9895,0.9565,0.9725,0.9238,0.9257,0.9725,0.052
Light Gradient Boosting Machine,0.9626,0.9939,0.9825,0.9602,0.9706,0.9194,0.9221,0.9706,0.21
Extra Trees Classifier,0.9626,0.995,0.9825,0.9608,0.9705,0.9194,0.9232,0.9705,0.07
Linear Discriminant Analysis,0.9604,0.9885,0.9965,0.944,0.9694,0.9136,0.9167,0.9694,0.018
Extreme Gradient Boosting,0.9582,0.9926,0.986,0.9503,0.9674,0.9094,0.9122,0.9674,0.058
Ridge Classifier,0.956,0.9915,0.9965,0.9378,0.9661,0.9037,0.9077,0.9661,0.02
Ada Boost Classifier,0.956,0.9881,0.9649,0.9652,0.9647,0.9064,0.9075,0.9647,0.076
Random Forest Classifier,0.9538,0.9861,0.9684,0.9596,0.9632,0.9012,0.9039,0.9632,0.09
Gradient Boosting Classifier,0.9516,0.9914,0.9649,0.9596,0.9614,0.8965,0.8993,0.9614,0.168
Quadratic Discriminant Analysis,0.9451,0.9926,0.9544,0.9582,0.9559,0.883,0.8841,0.9559,0.024
Naive Bayes,0.9363,0.9881,0.9544,0.9451,0.9494,0.8633,0.8646,0.9494,0.018
Decision Tree Classifier,0.9231,0.9196,0.9333,0.9436,0.938,0.8366,0.8382,0.938,0.016
Dummy Classifier,0.6264,0.5,1.0,0.6264,0.7703,0.0,0.0,0.7703,0.012
