Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Light Gradient Boosting Machine,0.7994,0.8416,0.705,0.7564,0.728,0.5697,0.5722,0.728,0.366
Random Forest Classifier,0.7927,0.8409,0.7225,0.7341,0.7261,0.5598,0.5619,0.7261,0.098
Naive Bayes,0.7775,0.8181,0.73,0.7018,0.7148,0.5326,0.5338,0.7148,0.014
K Neighbors Classifier,0.788,0.8216,0.6975,0.7375,0.7145,0.5464,0.5493,0.7145,0.028
Gradient Boosting Classifier,0.7966,0.8529,0.6675,0.7737,0.7137,0.5577,0.5638,0.7137,0.086
Logistic Regression,0.7851,0.8348,0.6875,0.7364,0.7092,0.5394,0.542,0.7092,0.012
Ada Boost Classifier,0.7756,0.8321,0.7125,0.7087,0.7072,0.5258,0.5291,0.7072,0.06
Extreme Gradient Boosting,0.7841,0.8351,0.675,0.7376,0.7033,0.5346,0.5371,0.7033,0.03
Extra Trees Classifier,0.7775,0.8179,0.69,0.7204,0.703,0.5255,0.5275,0.703,0.086
Linear Discriminant Analysis,0.7756,0.8347,0.6825,0.7205,0.699,0.5206,0.5229,0.699,0.014
Ridge Classifier,0.7746,0.8347,0.68,0.7199,0.6972,0.5183,0.5208,0.6972,0.018
Decision Tree Classifier,0.7698,0.7588,0.6725,0.7121,0.6907,0.5078,0.5092,0.6907,0.018
SVM - Linear Kernel,0.7526,0.8001,0.65,0.7046,0.6679,0.4729,0.4816,0.6679,0.018
Quadratic Discriminant Analysis,0.7039,0.7327,0.5175,0.5538,0.5038,0.3347,0.358,0.5038,0.014
Dummy Classifier,0.618,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.014
