Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Logistic Regression,0.9791,0.0,0.9791,0.9813,0.9788,0.9683,0.9697,0.0,0.032
K Neighbors Classifier,0.9507,0.9903,0.9507,0.9599,0.9508,0.9261,0.9307,0.0,0.036
Naive Bayes,0.9722,0.9953,0.9722,0.9765,0.9724,0.9578,0.9598,0.0,0.018
Decision Tree Classifier,0.9022,0.9259,0.9022,0.9144,0.9021,0.8519,0.8572,0.0,0.022
SVM - Linear Kernel,0.986,0.0,0.986,0.9873,0.986,0.9787,0.9794,0.0,0.028
Ridge Classifier,0.9722,0.0,0.9722,0.9767,0.9718,0.9582,0.9607,0.0,0.02
Random Forest Classifier,0.9791,0.9976,0.9791,0.9828,0.9793,0.9684,0.9701,0.0,0.084
Quadratic Discriminant Analysis,0.9931,0.0,0.9931,0.9937,0.9931,0.9895,0.9898,0.0,0.02
Ada Boost Classifier,0.8805,0.0,0.8805,0.8907,0.8792,0.8184,0.8243,0.0,0.054
Gradient Boosting Classifier,0.9094,0.0,0.9094,0.9253,0.9068,0.8628,0.8699,0.0,0.152
Linear Discriminant Analysis,0.9722,0.0,0.9722,0.9767,0.9718,0.9582,0.9607,0.0,0.014
Extra Trees Classifier,0.986,1.0,0.986,0.9875,0.9861,0.9787,0.9795,0.0,0.078
Extreme Gradient Boosting,0.965,0.9949,0.965,0.9689,0.9653,0.9472,0.9488,0.0,0.03
Light Gradient Boosting Machine,0.9791,0.9996,0.9791,0.9813,0.9792,0.9682,0.9693,0.0,0.19
Dummy Classifier,0.4012,0.5,0.4012,0.1611,0.2299,0.0,0.0,0.0,0.012
