Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Logistic Regression,0.9802,0.9964,0.993,0.9763,0.9845,0.9573,0.9579,0.9845,0.01
Light Gradient Boosting Machine,0.9714,0.9924,0.993,0.9628,0.9776,0.9382,0.9392,0.9776,0.212
K Neighbors Classifier,0.9692,0.9847,0.9895,0.9632,0.9759,0.9333,0.935,0.9759,0.022
Random Forest Classifier,0.967,0.988,0.9789,0.9693,0.9739,0.9291,0.9298,0.9739,0.098
Gradient Boosting Classifier,0.9648,0.9933,0.9825,0.963,0.9724,0.9239,0.925,0.9724,0.146
Extra Trees Classifier,0.9626,0.9888,0.9719,0.9691,0.9703,0.9199,0.9207,0.9703,0.052
SVM - Linear Kernel,0.9626,0.9955,0.9719,0.969,0.9702,0.9202,0.9212,0.9702,0.022
Ridge Classifier,0.9604,0.9954,1.0,0.9407,0.9694,0.9136,0.9171,0.9694,0.014
Ada Boost Classifier,0.9604,0.9865,0.9825,0.9559,0.9689,0.9145,0.9154,0.9689,0.052
Extreme Gradient Boosting,0.9604,0.9905,0.9789,0.9593,0.9688,0.9147,0.9157,0.9688,0.084
Linear Discriminant Analysis,0.9582,0.9906,1.0,0.9375,0.9678,0.9087,0.9126,0.9678,0.008
Quadratic Discriminant Analysis,0.9495,0.9921,0.9544,0.9656,0.9594,0.8923,0.8941,0.9594,0.008
Naive Bayes,0.9341,0.9878,0.9649,0.9323,0.9483,0.8574,0.8585,0.9483,0.01
Decision Tree Classifier,0.9297,0.9261,0.9404,0.9485,0.9438,0.8498,0.8517,0.9438,0.012
Dummy Classifier,0.6264,0.5,1.0,0.6264,0.7703,0.0,0.0,0.7703,0.012
