Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Logistic Regression,0.9791,0.0,0.9791,0.9827,0.9792,0.9683,0.97,0.0,0.026
K Neighbors Classifier,0.951,0.9943,0.951,0.957,0.951,0.9259,0.9289,0.0,0.026
Naive Bayes,0.9645,0.9984,0.9645,0.969,0.9643,0.9461,0.9486,0.0,0.016
Decision Tree Classifier,0.9155,0.9354,0.9155,0.9281,0.9157,0.8717,0.8779,0.0,0.02
SVM - Linear Kernel,0.9648,0.0,0.9648,0.9676,0.9647,0.9464,0.9478,0.0,0.03
Ridge Classifier,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.022
Random Forest Classifier,0.965,1.0,0.965,0.9703,0.9653,0.9471,0.9495,0.0,0.102
Quadratic Discriminant Analysis,0.9788,0.0,0.9788,0.9806,0.9787,0.9677,0.9688,0.0,0.014
Ada Boost Classifier,0.9084,0.0,0.9084,0.9153,0.9075,0.8609,0.865,0.0,0.058
Gradient Boosting Classifier,0.9227,0.0,0.9227,0.9272,0.9225,0.8819,0.8844,0.0,0.154
Linear Discriminant Analysis,0.9929,0.0,0.9929,0.9935,0.9928,0.9891,0.9895,0.0,0.018
Extra Trees Classifier,0.986,1.0,0.986,0.9874,0.986,0.9787,0.9794,0.0,0.086
Extreme Gradient Boosting,0.965,0.9996,0.965,0.9679,0.965,0.9467,0.9482,0.0,0.038
Light Gradient Boosting Machine,0.9653,0.9988,0.9653,0.967,0.9651,0.9472,0.9482,0.0,0.124
Dummy Classifier,0.4012,0.5,0.4012,0.1611,0.2299,0.0,0.0,0.0,0.012
