Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Gradient Boosting Classifier,0.8147,0.8704,0.6875,0.8022,0.7392,0.5969,0.6023,0.7392,0.072
Random Forest Classifier,0.8004,0.8519,0.705,0.7591,0.7297,0.5719,0.5742,0.7297,0.088
Light Gradient Boosting Machine,0.8032,0.8613,0.6925,0.7748,0.7283,0.5752,0.58,0.7283,0.192
Extreme Gradient Boosting,0.7994,0.8572,0.695,0.7647,0.7261,0.5685,0.5721,0.7261,0.022
Ada Boost Classifier,0.788,0.8414,0.7225,0.7248,0.7226,0.5511,0.5522,0.7226,0.042
Naive Bayes,0.7803,0.828,0.7475,0.6988,0.7222,0.5409,0.5419,0.7222,0.016
Extra Trees Classifier,0.7889,0.8421,0.705,0.7376,0.719,0.5504,0.5525,0.719,0.08
Ridge Classifier,0.7889,0.8434,0.7,0.7365,0.7171,0.549,0.5501,0.7171,0.012
Linear Discriminant Analysis,0.788,0.8434,0.7025,0.7338,0.717,0.5477,0.5488,0.717,0.012
K Neighbors Classifier,0.788,0.8253,0.6875,0.7417,0.7123,0.5449,0.547,0.7123,0.028
Logistic Regression,0.7851,0.8435,0.69,0.7326,0.7104,0.5398,0.5407,0.7104,0.018
Decision Tree Classifier,0.7813,0.7713,0.6875,0.7271,0.705,0.5317,0.5338,0.705,0.01
SVM - Linear Kernel,0.7508,0.7924,0.5675,0.7183,0.6263,0.4466,0.457,0.6263,0.016
Quadratic Discriminant Analysis,0.5393,0.7338,0.8025,0.4874,0.5809,0.1751,0.1804,0.5809,0.016
Dummy Classifier,0.618,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.012
