,mean,mean,mean,std,std,std
framework,H2O AutoML,PyCaret,TPOT,H2O AutoML,PyCaret,TPOT
dataset,,,,,,
breast_cancer,0.942,0.9748,0.9622,0.043,0.0055,0.0002
titanic,0.782,0.7735,0.7727,0.029,0.0266,0.0282
wine,0.9631,0.9818,0.9647,0.0194,0.0159,0.0139
