model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_6_AutoML_7_20260726_215010,0.8544281298299846,0.4440775485600635,0.8108250028093803,0.2072121329211746,0.3751491280320352,0.1407368682631963
GBM_lr_annealing_selection_AutoML_7_20260726_215010_select_model,0.8542600463678516,0.4441577637392204,0.8178381083949203,0.2037577279752704,0.3748923406812361,0.140544267101456
GBM_grid_1_AutoML_7_20260726_215010_model_11,0.8541827666151468,0.445086084413873,0.8168699414839393,0.2018025502318392,0.3746726998760917,0.1403796320324399
GBM_grid_1_AutoML_7_20260726_215010_model_36,0.8536727202472951,0.4436145564391405,0.8234224825752231,0.2038929675425038,0.375428323371873,0.1409464259898156
StackedEnsemble_Best1000_1_AutoML_7_20260726_215010,0.8522546367851623,0.4450877346169008,0.8163436790840332,0.2038253477588871,0.3759291557599276,0.1413227301503719
StackedEnsemble_BestOfFamily_4_AutoML_7_20260726_215010,0.8517812982998454,0.4469743800026674,0.8119372811900817,0.2054173106646059,0.3759181054315076,0.141314421991214
StackedEnsemble_AllModels_5_AutoML_7_20260726_215010,0.8515784389489954,0.4578946364778784,0.807386693570458,0.2082592735703246,0.376941677025508,0.1420850278788024
StackedEnsemble_AllModels_6_AutoML_7_20260726_215010,0.8505351622874806,0.446280165540042,0.8143177820057343,0.1985761205564142,0.3756682300867043,0.141126619096477
GBM_5_AutoML_7_20260726_215010,0.8498068006182381,0.4468091805594172,0.8142849288225166,0.2062577279752704,0.3763511236831972,0.1416401682976052
StackedEnsemble_BestOfFamily_2_AutoML_7_20260726_215010,0.8496464451313757,0.4479548607140405,0.8082223859186314,0.2106916537867078,0.3769307960925003,0.142076825042926
StackedEnsemble_AllModels_1_AutoML_7_20260726_215010,0.8491035548686244,0.4451773894789715,0.8145156040437675,0.2026680834621329,0.3752409045684639,0.140805736461359
GBM_3_AutoML_7_20260726_215010,0.8480641421947449,0.449545572037605,0.8138774061087364,0.2037789799072643,0.3774771050724537,0.1424889648538802
GBM_grid_1_AutoML_7_20260726_215010_model_10,0.8479849304482225,0.4517991288300854,0.8099751689515982,0.2115533230293663,0.3786130301621397,0.1433478266085572
StackedEnsemble_AllModels_2_AutoML_7_20260726_215010,0.8479231066460589,0.4468906974905092,0.8111268127290511,0.2044841576506955,0.376336360735617,0.1416290564117285
GBM_grid_1_AutoML_7_20260726_215010_model_4,0.8478825347758888,0.4521261449535982,0.8156780711627515,0.2125077279752704,0.3789018329392672,0.1435665990047363
GBM_grid_1_AutoML_7_20260726_215010_model_9,0.8477047913446677,0.4523308079633871,0.8154635991892623,0.2161224884080371,0.379425187953587,0.1439634732536148
StackedEnsemble_BestOfFamily_3_AutoML_7_20260726_215010,0.8473435085007729,0.446972848307203,0.8079691246854113,0.2023261205564142,0.3764483141505061,0.1417133332267582
GBM_grid_1_AutoML_7_20260726_215010_model_35,0.8473087326120556,0.4505197807562289,0.8170483580126225,0.2133268933539412,0.3794966085493106,0.1440176759004287
GBM_grid_1_AutoML_7_20260726_215010_model_2,0.8472894126738794,0.4531983697848651,0.8131394708314118,0.2123512364760433,0.3792527125261014,0.1438326199584056
GBM_grid_1_AutoML_7_20260726_215010_model_12,0.8472391808346214,0.44797626419342,0.8157972669294562,0.2099401081916537,0.3766746306828581,0.1418837774000675
GBM_grid_1_AutoML_7_20260726_215010_model_3,0.8469165378670789,0.4594144515715482,0.8016782154117499,0.2217812982998454,0.384157133180779,0.1475767029736748
GBM_grid_1_AutoML_7_20260726_215010_model_13,0.846864374034003,0.449808378167012,0.812240664611765,0.2130312982998454,0.3780444649563554,0.142917617484137
GBM_grid_1_AutoML_7_20260726_215010_model_30,0.8467697063369397,0.4583701782856911,0.8069418174132131,0.2132592735703246,0.3847785344141759,0.1480545205459211
GBM_2_AutoML_7_20260726_215010,0.8467329984544049,0.4473281539419187,0.8175473643570257,0.2051429675425038,0.3756753185872651,0.1411319449956431
StackedEnsemble_AllModels_3_AutoML_7_20260726_215010,0.8463098918083463,0.4493076931432654,0.8104611963010848,0.2038040958268933,0.3770365560399821,0.1421565645904906
GBM_grid_1_AutoML_7_20260726_215010_model_31,0.8447121329211745,0.4532468632984018,0.8109282980504627,0.2119880216383307,0.3803584964927415,0.1446725858542188
GBM_grid_1_AutoML_7_20260726_215010_model_28,0.8436688562596599,0.452616806757717,0.8154879108564013,0.2158056414219474,0.379582518635868,0.1440828884539491
GBM_grid_1_AutoML_7_20260726_215010_model_5,0.8432206336939723,0.4549709552068393,0.8127264120607027,0.1982341576506955,0.3783340291128711,0.1431366375847788
StackedEnsemble_AllModels_4_AutoML_7_20260726_215010,0.8430061823802163,0.4533848659188636,0.8087535482134387,0.2052357032457496,0.3785772428930026,0.1433207288364675
GBM_4_AutoML_7_20260726_215010,0.8424613601236476,0.4578768514466055,0.8105058128795596,0.2111901081916538,0.380572240852974,0.144835230507854
GBM_grid_1_AutoML_7_20260726_215010_model_32,0.8419281298299844,0.4499191610153722,0.8104061916234591,0.2112364760432766,0.3778483392612744,0.1427693674825031
