model_id,mean_per_class_error,logloss,rmse,mse
GBM_grid_1_AutoML_5_20260726_213005_model_48,0.0058479532163742,0.0346224685689946,0.1014755410510642,0.0102972854316062
GBM_grid_1_AutoML_5_20260726_213005_model_14,0.0058479532163742,0.0198888140883794,0.0758390277334903,0.0057515581275611
GBM_3_AutoML_5_20260726_213005,0.0058479532163742,0.0313218610125321,0.095156470265974,0.0090547538334791
GBM_grid_1_AutoML_5_20260726_213005_model_57,0.0058479532163742,0.0372297374393821,0.0999855634295609,0.0099971128943267
GBM_grid_1_AutoML_5_20260726_213005_model_88,0.0058479532163742,0.0254441048186245,0.0871619300065201,0.0075972020424615
GBM_grid_1_AutoML_5_20260726_213005_model_68,0.0058479532163742,0.0285886755369746,0.0911455338661217,0.0083075083437403
GBM_grid_1_AutoML_5_20260726_213005_model_20,0.0058479532163742,0.0282854826136988,0.090296984420129,0.008153545395369
GBM_grid_1_AutoML_5_20260726_213005_model_35,0.0058479532163742,0.0269302653217944,0.0856173529495396,0.007330331126086
DRF_1_AutoML_5_20260726_213005,0.0058479532163742,0.1250698232081705,0.1586283872436057,0.0251629652395073
GBM_grid_1_AutoML_5_20260726_213005_model_77,0.0058479532163742,0.0150428774346296,0.0681278145970736,0.0046413991217732
GBM_grid_1_AutoML_5_20260726_213005_model_104,0.0058479532163742,0.0271395343451811,0.0915311890980089,0.0083779585776954
GBM_grid_1_AutoML_5_20260726_213005_model_58,0.0058479532163742,0.0306577626052292,0.092104235747085,0.0084831902425546
GBM_grid_1_AutoML_5_20260726_213005_model_42,0.0058479532163742,0.034217661779537,0.1041708460563186,0.0108515651680892
GBM_grid_1_AutoML_5_20260726_213005_model_18,0.0058479532163742,0.033862150250029,0.0959733886030349,0.0092108913199491
GBM_grid_1_AutoML_5_20260726_213005_model_39,0.0058479532163742,0.0313535493782166,0.0905627012454602,0.0082016028568744
GBM_grid_1_AutoML_5_20260726_213005_model_89,0.0058479532163742,0.0217104368907319,0.0804935728250894,0.0064792152661479
GBM_grid_1_AutoML_5_20260726_213005_model_8,0.0058479532163742,0.0267077616566069,0.0863548876990524,0.0074571666295159
GBM_grid_1_AutoML_5_20260726_213005_model_36,0.0058479532163742,0.0427535308483023,0.1099295191071364,0.0120844991711262
GBM_grid_1_AutoML_5_20260726_213005_model_98,0.0058479532163742,0.0348651466081753,0.0945576928327086,0.0089411572738448
GBM_grid_1_AutoML_5_20260726_213005_model_65,0.0058479532163742,0.0346911785557757,0.0997891952625107,0.0099578834911394
GBM_grid_1_AutoML_5_20260726_213005_model_112,0.0058479532163742,0.0330785453507028,0.0957620893795609,0.009170377762339
GBM_grid_1_AutoML_5_20260726_213005_model_95,0.0058479532163742,0.0355630234578566,0.0995405027206085,0.0099083116818714
GBM_grid_1_AutoML_5_20260726_213005_model_78,0.0058479532163742,0.036856251873194,0.1002458074742119,0.0100492219161567
GBM_grid_1_AutoML_5_20260726_213005_model_40,0.0058479532163742,0.024652195562219,0.0815661834526432,0.0066530422830302
GBM_grid_1_AutoML_5_20260726_213005_model_54,0.0058479532163742,0.0353519085527757,0.098153450814348,0.0096340999067646
GBM_grid_1_AutoML_5_20260726_213005_model_82,0.0058479532163742,0.0270630203393812,0.0879552684670569,0.007736129251112
GBM_grid_1_AutoML_5_20260726_213005_model_10,0.0058479532163742,0.0259639927260337,0.0846778356625117,0.0071703358524873
GBM_grid_1_AutoML_5_20260726_213005_model_87,0.0058479532163742,0.0344663702567888,0.1004419804618232,0.0100885914390932
GBM_grid_1_AutoML_5_20260726_213005_model_59,0.0058479532163742,0.0290975453566187,0.0860823137210355,0.0074101647355667
GBM_grid_1_AutoML_5_20260726_213005_model_17,0.0058479532163742,0.0250430192915113,0.0859487760808275,0.0073871921097922
GBM_grid_1_AutoML_5_20260726_213005_model_13,0.0058479532163742,0.0328002437004245,0.095002905145568,0.0090255519860977
GBM_grid_1_AutoML_5_20260726_213005_model_84,0.0058479532163742,0.0332011108596598,0.0954284930962751,0.0091065972946258
