model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid_1_AutoML_1_20260726_204956_model_3,0.9973787409700724,0.0781387129567069,0.99833833991994,0.0223426212590299,0.1282196488624088,0.0164402783543994
DeepLearning_grid_1_AutoML_1_20260726_204956_model_2,0.9971517027863775,0.0700434054066519,0.9982022541765624,0.0223426212590299,0.1302230183398274,0.016958034505535
StackedEnsemble_BestOfFamily_6_AutoML_1_20260726_204956,0.9967389060887512,0.0611065519520614,0.9979141855508578,0.0235294117647058,0.1292557715249932,0.0167070544725212
GBM_grid_1_AutoML_1_20260726_204956_model_32,0.996532507739938,0.0754005193550046,0.9978955214549374,0.0317337461300309,0.1472686604197421,0.0216880583418253
StackedEnsemble_AllModels_3_AutoML_1_20260726_204956,0.9961816305469556,0.1208836628739706,0.9972897266992108,0.0164602683178534,0.1523522959490893,0.0232112220809589
StackedEnsemble_BestOfFamily_4_AutoML_1_20260726_204956,0.996140350877193,0.0628699653447057,0.997354331225451,0.0205882352941176,0.1250007769760644,0.0156251942446198
DeepLearning_grid_1_AutoML_1_20260726_204956_model_4,0.9960990712074302,0.0962531539263291,0.9975605541181964,0.0246646026831785,0.1467866527101616,0.0215463214138535
GBM_grid_1_AutoML_1_20260726_204956_model_59,0.996078431372549,0.0773425227357644,0.9976045669440994,0.0246646026831785,0.1484473264117571,0.0220366087187987
StackedEnsemble_AllModels_4_AutoML_1_20260726_204956,0.9960577915376676,0.1219466511167205,0.99717541414706,0.0164602683178534,0.153626384084085,0.0236010658867508
GBM_grid_1_AutoML_1_20260726_204956_model_61,0.9960577915376676,0.074217027143157,0.997563933028913,0.0252321981424148,0.1447901651393088,0.0209641919210683
GBM_grid_1_AutoML_1_20260726_204956_model_36,0.9960371517027864,0.0747704461968107,0.9975116745681866,0.0258513931888544,0.1409211845200793,0.0198587802465422
GBM_grid_1_AutoML_1_20260726_204956_model_27,0.996016511867905,0.0790841647482374,0.997579684330044,0.0399896800825593,0.1509007879325977,0.0227710477986788
GBM_grid_1_AutoML_1_20260726_204956_model_39,0.9959958720330236,0.0775703764746695,0.9975277587502464,0.0287925696594427,0.146346670517729,0.0214173479716247
StackedEnsemble_AllModels_6_AutoML_1_20260726_204956,0.9958720330237358,0.2121739326985892,0.9970117484558864,0.0152734778121775,0.2095921610850783,0.0439288739883134
GBM_grid_1_AutoML_1_20260726_204956_model_62,0.9957688338493292,0.0830104458537492,0.9974365208230674,0.030546955624355,0.1535090076874259,0.0235650154411782
GBM_grid_1_AutoML_1_20260726_204956_model_3,0.995748194014448,0.0825140892945741,0.9973762296076212,0.0287409700722394,0.1553608365901604,0.0241369895459945
GBM_grid_1_AutoML_1_20260726_204956_model_35,0.9957275541795664,0.0799238827749079,0.997360917352986,0.0317337461300309,0.1514140012636544,0.0229261997786699
GBM_grid_1_AutoML_1_20260726_204956_model_77,0.995686274509804,0.0807119726138922,0.9973381261708182,0.0329205366357069,0.1521873931620369,0.0231610026374563
GBM_grid_1_AutoML_1_20260726_204956_model_42,0.9956656346749226,0.0769575551932108,0.9972797144951172,0.0329205366357069,0.1451502574481325,0.0210685972372591
GBM_grid_1_AutoML_1_20260726_204956_model_93,0.9956656346749226,0.0877899126029694,0.9973911230537522,0.0334881320949432,0.158335433903926,0.0250701096295445
GBM_grid_1_AutoML_1_20260726_204956_model_51,0.995562435500516,0.0871209990786107,0.9973082136602917,0.0405572755417956,0.1593730732894466,0.0253997764897233
GBM_grid_1_AutoML_1_20260726_204956_model_78,0.995562435500516,0.0851750768822076,0.997298461930204,0.0323013415892672,0.1577559346680833,0.0248869349230005
GBM_grid_1_AutoML_1_20260726_204956_model_82,0.9955211558307532,0.0789926322799693,0.9971780794484136,0.0252321981424148,0.1480172436731331,0.0219091044245916
GBM_grid_1_AutoML_1_20260726_204956_model_94,0.995500515995872,0.0774362830783777,0.997134858719309,0.0269865841073271,0.147864387032031,0.0218638769523582
GBM_grid_1_AutoML_1_20260726_204956_model_25,0.9954592363261094,0.0863873277771479,0.9972217763478696,0.0264189886480908,0.1526324825260367,0.0232966747220608
GBM_grid_1_AutoML_1_20260726_204956_model_9,0.995438596491228,0.0856685615382792,0.9971965663864972,0.0334881320949432,0.156429537891361,0.0244702003249047
GBM_grid_1_AutoML_1_20260726_204956_model_38,0.9953766769865842,0.0802125719544558,0.9971531699840424,0.028173374613003,0.1514601165011208,0.022940166890533
GBM_grid_1_AutoML_1_20260726_204956_model_1,0.9953560371517028,0.0874330623062486,0.997150991080095,0.0352425180598555,0.1596166233779986,0.0254774664585938
GBM_grid_1_AutoML_1_20260726_204956_model_12,0.9953560371517028,0.0844057425823972,0.9971643923778056,0.0364293085655314,0.1570045075025528,0.0246504153761191
GBM_grid_1_AutoML_1_20260726_204956_model_74,0.99531475748194,0.0850575072106308,0.9970695331211036,0.0234778121775025,0.1530087295470094,0.0234116713175898
GBM_grid_1_AutoML_1_20260726_204956_model_21,0.9952941176470588,0.0856913288777527,0.9970909307851082,0.0264189886480908,0.1548750595183196,0.023986284060803
GBM_grid_1_AutoML_1_20260726_204956_model_88,0.9952941176470588,0.0797863823297935,0.997038957053729,0.0269865841073271,0.1502335855399898,0.0225701302242014
GBM_grid_1_AutoML_1_20260726_204956_model_30,0.9952528379772962,0.0877422416905361,0.997099778879254,0.029360165118679,0.1562224952516989,0.0244054680226671
GBM_grid_1_AutoML_1_20260726_204956_model_57,0.9952528379772962,0.0859937818079051,0.997098381011514,0.0346749226006192,0.1547743287268783,0.0239550928328558
GBM_grid_1_AutoML_1_20260726_204956_model_41,0.9952115583075336,0.0904910005026103,0.9970641445584252,0.0358101135190918,0.1648801576124813,0.0271854663743167
GBM_grid_1_AutoML_1_20260726_204956_model_79,0.9951909184726522,0.0855001332435967,0.9970588948821486,0.0352425180598555,0.1562556233075532,0.0244158198152319
GBM_grid_1_AutoML_1_20260726_204956_model_64,0.995170278637771,0.0886727361168328,0.9970496134493766,0.029360165118679,0.1572171060970504,0.0247172184495312
GBM_grid_1_AutoML_1_20260726_204956_model_92,0.995170278637771,0.0884558813170163,0.9970826805445824,0.0381836945304437,0.1629862610506983,0.0265645212912863
GBM_grid_1_AutoML_1_20260726_204956_model_54,0.9951599587203304,0.0942044766010185,0.9970592425799794,0.0434984520123839,0.1686153080575894,0.0284311221113558
GBM_grid_1_AutoML_1_20260726_204956_model_28,0.9951496388028896,0.0929280154446812,0.9970679860106684,0.0364293085655314,0.162634586310833,0.0264500086644958
StackedEnsemble_BestOfFamily_2_AutoML_1_20260726_204956,0.9951289989680082,0.0738273382344423,0.996694015647498,0.0246646026831785,0.1407775685937127,0.0198183238191574
GBM_grid_1_AutoML_1_20260726_204956_model_4,0.9951083591331268,0.0903152008262098,0.9970223187562746,0.0417440660474716,0.1636053500797038,0.0267667105747024
GBM_grid_1_AutoML_1_20260726_204956_model_90,0.995046439628483,0.0863668566721186,0.9969871525304748,0.0311145510835913,0.1548635275265988,0.0239827121579816
GBM_grid_1_AutoML_1_20260726_204956_model_11,0.995046439628483,0.0915169584985873,0.9970084764502912,0.0352425180598555,0.1642456478956134,0.0269766328526498
GBM_grid_1_AutoML_1_20260726_204956_model_68,0.995046439628483,0.0865621711666828,0.9969895531438432,0.0311145510835913,0.1590102689617797,0.0252842656352975
GBM_grid_1_AutoML_1_20260726_204956_model_23,0.9950051599587204,0.0900432766905374,0.996962409026238,0.0364293085655314,0.1623798552575092,0.0263672173934496
GBM_grid_1_AutoML_1_20260726_204956_model_60,0.994984520123839,0.0916743223026934,0.9969535644001384,0.039938080495356,0.1646011009564088,0.0270935224360618
GBM_grid_1_AutoML_1_20260726_204956_model_29,0.9949638802889578,0.0900257326343978,0.9969346380408456,0.0311145510835913,0.160634733412099,0.0258035175783761
GBM_grid_1_AutoML_1_20260726_204956_model_17,0.994922600619195,0.0863218508573163,0.9968067310318665,0.030546955624355,0.1572690979443915,0.0247335691682426
GBM_grid_1_AutoML_1_20260726_204956_model_76,0.9949019607843136,0.090194461267731,0.9968918769593056,0.0311145510835913,0.1620334563546331,0.0262548409782287
StackedEnsemble_AllModels_2_AutoML_1_20260726_204956,0.9948813209494324,0.0717128543394218,0.9965120335738472,0.0234778121775025,0.1351804866848883,0.0182737639803632
GBM_grid_1_AutoML_1_20260726_204956_model_91,0.9948194014447884,0.0880314549197664,0.9967477959011136,0.0299277605779153,0.1551581328872663,0.0240740462010626
GBM_grid_1_AutoML_1_20260726_204956_model_22,0.9947987616099072,0.0845451290975875,0.9967146900977852,0.0369969040247678,0.1547740872379762,0.0239550180803486
GBM_grid_1_AutoML_1_20260726_204956_model_73,0.9947781217750256,0.0952965564530024,0.9968388077008008,0.0334365325077399,0.1689215834226484,0.0285345013460147
GBM_grid_1_AutoML_1_20260726_204956_model_67,0.9947368421052633,0.0907340898498822,0.996778183300446,0.0346749226006192,0.161769390991347,0.0261693358617113
GBM_grid_1_AutoML_1_20260726_204956_model_52,0.9946955624355004,0.0831757956237825,0.9964250787728632,0.0299793601651186,0.1496168751510824,0.0223852093299745
GBM_grid_1_AutoML_1_20260726_204956_model_37,0.9946749226006192,0.088018097243613,0.9966565634401496,0.0328689370485036,0.1588099936994473,0.0252206140988185
DeepLearning_grid_1_AutoML_1_20260726_204956_model_1,0.994592363261094,0.1002410678481161,0.9965913757182372,0.0287925696594427,0.1500284743143186,0.0225085431050821
GBM_3_AutoML_1_20260726_204956,0.994592363261094,0.0937911363638943,0.9966970669804206,0.0434984520123839,0.1668798670911824,0.0278488900403707
GBM_grid_1_AutoML_1_20260726_204956_model_47,0.99453044375645,0.0964665163438309,0.9966533668360396,0.0334881320949432,0.1660896729881458,0.0275857794733092
GBM_grid_1_AutoML_1_20260726_204956_model_20,0.99453044375645,0.0888645770548984,0.9965685888785872,0.030546955624355,0.1572058870136928,0.0247136909117619
GBM_grid_1_AutoML_1_20260726_204956_model_69,0.9944272445820432,0.104625258725273,0.996669123534466,0.0416924664602683,0.1776046525620984,0.0315434126117036
GBM_grid_1_AutoML_1_20260726_204956_model_45,0.994406604747162,0.0959435149381424,0.996607616476141,0.0434984520123839,0.1659921569296433,0.0275533961621553
StackedEnsemble_BestOfFamily_1_AutoML_1_20260726_204956,0.9943859649122806,0.0729393557564102,0.9959251885631966,0.0264705882352941,0.1323677141285459,0.0175212117436164
GBM_grid_1_AutoML_1_20260726_204956_model_13,0.9943859649122806,0.0935040738398759,0.9965326079192104,0.0381836945304437,0.1649331090795175,0.027202930470636
GBM_grid_1_AutoML_1_20260726_204956_model_15,0.9943653250773996,0.0974276650530267,0.9965934528037704,0.0352425180598555,0.1663299119584997,0.0276656396121222
GBM_grid_1_AutoML_1_20260726_204956_model_75,0.994344685242518,0.0875008599983115,0.9962758662014884,0.0323013415892672,0.1552764428060491,0.0241107736905002
GBM_grid_1_AutoML_1_20260726_204956_model_58,0.9943034055727554,0.0842418900784749,0.996265812578698,0.0269865841073271,0.1513557374401641,0.0229085592560559
GBM_grid_1_AutoML_1_20260726_204956_model_89,0.994282765737874,0.0924134428773535,0.996409786630025,0.0299277605779153,0.1624221128515701,0.0263809427431681
GBM_grid_1_AutoML_1_20260726_204956_model_50,0.994282765737874,0.0891496901962348,0.9962694261446082,0.0328689370485036,0.1577890975385931,0.0248973993020436
GBM_4_AutoML_1_20260726_204956,0.994282765737874,0.1003105269625461,0.9965107888519976,0.0328689370485036,0.1673824732348754,0.0280168923462238
GBM_grid_1_AutoML_1_20260726_204956_model_2,0.9942621259029928,0.0968652244794994,0.996440583182152,0.0323013415892672,0.1651869037353331,0.0272867131656662
GBM_grid_1_AutoML_1_20260726_204956_model_10,0.9942414860681116,0.0951243113712896,0.9964366886345868,0.047626418988648,0.1657514849483232,0.0274735547625742
GBM_grid_1_AutoML_1_20260726_204956_model_72,0.9942414860681116,0.0941307468622078,0.9964478281305932,0.0405056759545923,0.1673063544976344,0.0279914162552881
GBM_grid_1_AutoML_1_20260726_204956_model_49,0.9942002063983488,0.0952972917973361,0.996457998307881,0.0393704850361197,0.1671994431091962,0.0279556537760253
DeepLearning_grid_1_AutoML_1_20260726_204956_model_5,0.9941692466460268,0.1244994811243574,0.9939357368204862,0.0182146542827657,0.1198790711548324,0.0143709917009453
GBM_2_AutoML_1_20260726_204956,0.9941382868937048,0.0972674034621239,0.9963136141999034,0.0323013415892672,0.1653132319990229,0.0273284646739627
GLM_1_AutoML_1_20260726_204956,0.994097007223942,0.079027409142018,0.9958000321539462,0.0164602683178534,0.1396664932307297,0.0195067293313694
GBM_grid_1_AutoML_1_20260726_204956_model_46,0.9940763673890608,0.0899472243865095,0.996312465053842,0.0340557275541795,0.1577466840974973,0.0248840163437556
DeepLearning_grid_1_AutoML_1_20260726_204956_model_7,0.9940350877192984,0.0915050813678582,0.9958810373973636,0.019969040247678,0.1368381780054345,0.0187246869598469
GBM_grid_1_AutoML_1_20260726_204956_model_87,0.9939112487100104,0.0900399772972521,0.9959760203420674,0.0334881320949432,0.1569027811619638,0.0246184827363591
GBM_grid_1_AutoML_1_20260726_204956_model_70,0.9938699690402476,0.0947239006322851,0.9960718455330332,0.0411248710010319,0.1676682205521444,0.0281126321831225
GBM_grid_1_AutoML_1_20260726_204956_model_19,0.9938286893704852,0.0932804961225545,0.9960350019591904,0.0352425180598555,0.1580802950851483,0.0249893796942075
DeepLearning_1_AutoML_1_20260726_204956,0.9938080495356038,0.0963611826154657,0.9961181156491454,0.0381836945304437,0.1634104971151244,0.026702990567412
GBM_grid_1_AutoML_1_20260726_204956_model_44,0.9938080495356038,0.0975612985050176,0.9961993978672028,0.0351909184726522,0.170692215673249,0.0291358324914429
GBM_grid_1_AutoML_1_20260726_204956_model_71,0.9937874097007224,0.1020411257285661,0.9961840022867824,0.03875128998968,0.1693801156942988,0.028689623592614
DeepLearning_grid_2_AutoML_1_20260726_204956_model_2,0.9937358101135192,0.1079153594997255,0.9930945501307572,0.0164602683178534,0.1215321551446793,0.0147700647341104
