model_id,mean_per_class_error,logloss,rmse,mse
StackedEnsemble_BestOfFamily_3_AutoML_4_20260726_212002,0.0058479532163742,0.1420019109663916,0.1622917761326329,0.0263386206002846
DeepLearning_grid_1_AutoML_4_20260726_212002_model_3,0.0058479532163742,0.0316095252772445,0.0882158687102796,0.0077820394923092
GBM_grid_1_AutoML_4_20260726_212002_model_42,0.0116959064327485,0.0613952943247061,0.1237803570090207,0.0153215767812806
GBM_grid_1_AutoML_4_20260726_212002_model_92,0.0116959064327485,0.0504848126053311,0.1228808352365187,0.0150996996684244
DeepLearning_grid_1_AutoML_4_20260726_212002_model_7,0.0116959064327485,0.0463248102944287,0.1083284257355644,0.0117350478223457
GBM_grid_1_AutoML_4_20260726_212002_model_157,0.0116959064327485,0.0409516372584334,0.1050852223210158,0.0110429039502573
GBM_grid_1_AutoML_4_20260726_212002_model_59,0.0116959064327485,0.0554992226862382,0.1121256265627519,0.0125721561320897
GBM_grid_1_AutoML_4_20260726_212002_model_145,0.0116959064327485,0.0385132504351852,0.108410013206609,0.0117527309634571
GBM_grid_1_AutoML_4_20260726_212002_model_95,0.0116959064327485,0.0527880655301006,0.1211479349918455,0.0146768221527884
GBM_grid_1_AutoML_4_20260726_212002_model_133,0.0116959064327485,0.0541238310351188,0.1228601303237048,0.0150946116231577
GBM_grid_1_AutoML_4_20260726_212002_model_99,0.0116959064327485,0.0426865016774071,0.1094305239124551,0.0119750395637544
DeepLearning_grid_1_AutoML_4_20260726_212002_model_11,0.0116959064327485,0.0479457549693154,0.114053403664938,0.0130081788875573
GBM_grid_1_AutoML_4_20260726_212002_model_45,0.0116959064327485,0.0638319528065239,0.129036401877659,0.0166503930095327
GBM_grid_1_AutoML_4_20260726_212002_model_74,0.0116959064327485,0.0504209512541337,0.1169672633543419,0.0136813406966039
GBM_grid_1_AutoML_4_20260726_212002_model_67,0.0116959064327485,0.0577273855979168,0.1266143234683328,0.0160311869073436
StackedEnsemble_AllModels_3_AutoML_4_20260726_212002,0.0116959064327485,0.1385901665651459,0.1562168820902944,0.0244037142500129
GBM_grid_1_AutoML_4_20260726_212002_model_20,0.0116959064327485,0.0343222879951176,0.102665816727234,0.0105402699242699
DeepLearning_grid_2_AutoML_4_20260726_212002_model_1,0.0116959064327485,0.0715818173405298,0.1311445802630283,0.0171989009323658
GBM_grid_1_AutoML_4_20260726_212002_model_113,0.0116959064327485,0.046237524767062,0.1153151746869712,0.0132975895130866
DeepLearning_grid_1_AutoML_4_20260726_212002_model_1,0.0116959064327485,0.0531631102878272,0.1113375840410678,0.0123960576201018
GBM_grid_1_AutoML_4_20260726_212002_model_142,0.0116959064327485,0.0572257935091759,0.1225490278183329,0.0150182642192185
StackedEnsemble_AllModels_4_AutoML_4_20260726_212002,0.0116959064327485,0.1404350787599117,0.1577873432444836,0.0248968456881524
GBM_grid_1_AutoML_4_20260726_212002_model_161,0.0116959064327485,0.0389889779392613,0.1085790209673143,0.0117894037942204
GBM_grid_1_AutoML_4_20260726_212002_model_17,0.0116959064327485,0.0375592564094895,0.1072331369341887,0.0114989456567464
GBM_grid_1_AutoML_4_20260726_212002_model_21,0.0116959064327485,0.0499619755249904,0.1126913703649592,0.0126993449547324
GBM_grid_1_AutoML_4_20260726_212002_model_57,0.0116959064327485,0.0561700723858176,0.1245744753569416,0.0155187999104572
GBM_grid_1_AutoML_4_20260726_212002_model_135,0.0116959064327485,0.0332837196237226,0.1069419426151586,0.0114365790903038
GBM_grid_1_AutoML_4_20260726_212002_model_3,0.0116959064327485,0.0497307727483428,0.1209950465728781,0.0146398012951729
GBM_grid_1_AutoML_4_20260726_212002_model_32,0.0116959064327485,0.0477833175823152,0.1174406869356511,0.0137923149479176
GBM_grid_1_AutoML_4_20260726_212002_model_41,0.0116959064327485,0.0497509315439027,0.1178136757609611,0.0138800621963088
GBM_grid_1_AutoML_4_20260726_212002_model_53,0.0175438596491228,0.0751090605877114,0.1479712344661877,0.0218954862294475
GBM_grid_1_AutoML_4_20260726_212002_model_34,0.0175438596491228,0.0805596609028619,0.1470796677524777,0.0216324286661792
GBM_grid_1_AutoML_4_20260726_212002_model_10,0.0175438596491228,0.0656664837059045,0.1398044220125385,0.0195452764142599
GBM_grid_1_AutoML_4_20260726_212002_model_120,0.0175438596491228,0.0577528225440833,0.1327580487473131,0.0176246995071939
GBM_grid_1_AutoML_4_20260726_212002_model_46,0.0175438596491228,0.0743464178545362,0.1433996526406232,0.0205634603774514
GBM_grid_1_AutoML_4_20260726_212002_model_126,0.0175438596491228,0.0750826522344159,0.1473770425349068,0.0217199926663357
GBM_grid_1_AutoML_4_20260726_212002_model_71,0.0175438596491228,0.0782166302702198,0.1510148214816779,0.022805476307143
GBM_grid_1_AutoML_4_20260726_212002_model_49,0.0175438596491228,0.0652111870459176,0.1368807375849522,0.0187363363218005
GBM_grid_1_AutoML_4_20260726_212002_model_27,0.0175438596491228,0.0698389675787979,0.1428848287241007,0.0204160742795156
GBM_grid_1_AutoML_4_20260726_212002_model_103,0.0175438596491228,0.0657703901873642,0.1415432739460259,0.0200344983993597
GBM_5_AutoML_4_20260726_212002,0.0175438596491228,0.0853588217942975,0.1567718272263882,0.0245774058119005
DeepLearning_grid_1_AutoML_4_20260726_212002_model_9,0.0175438596491228,0.0365017393810265,0.1118131152264793,0.0125021727366499
